Attribute	Manifest Name	Description	Required	Conditional If	Data Type	Valid Values
HTAN Biospecimen ID	Biospecimen	HTAN ID associated with a biosample based on HTAN ID SOP (eg HTANx_yyy_zzz)	True		String	
Source HTAN Biospecimen ID	Biospecimen	This is the HTAN ID that may have been assigned to the biospecimen at the site of biospecimen origin (e.g. BU).	False		String	
HTAN Parent ID	Biospecimen	HTAN ID of parent from which the biospecimen was obtained. Parent could be another biospecimen or a research participant.	True		String	
Timepoint Label	Biospecimen	Label to identify the time point at which the clinical data or biospecimen was obtained (e.g. Baseline, End of Treatment, Overall survival, Final). NO PHI/PII INFORMATION IS ALLOWED.	True		String	
Collection Days from Index	Biospecimen	Number of days from the research participant's index date that the biospecimen was obtained. If not applicable please enter 'Not Applicable'	True		String	
Adjacent Biospecimen IDs	Biospecimen	List of HTAN Identifiers (separated by commas) of adjacent biospecimens cut from the same sample; for example HTA3_3000_3, HTA3_3000_4, ...	False		String	
Biospecimen Type	Biospecimen	Biospecimen Type	True		String	Tissue Biospecimen Type Blood Biospecimen Type Analyte Biospecimen Type Mouth Rinse Biospecimen Type Stool Biospecimen Type Urine Biospecimen Type Ascites Biospecimen Type Sputum Biospecimen Type Fluids Biospecimen Type Bone Marrow Biospecimen Type Cells Biospecimen Type
Acquisition Method Type	Biospecimen	Records the method of acquisition or source for the specimen under consideration.	True		String	Autopsy Biopsy Fine Needle Aspirate Surgical Resection Punch Biopsy Shave Biopsy Excision Re-excision Sentinel Node Biopsy Lymphadenectomy - Regional Nodes Other Acquisition Method Non induced sputum Induced sputum BAL (bronchial alveolar lavage) Cytobrush Blood draw Fluid collection Forceps biopsy Core needle biopsy Endoscopic biopsy Not specified
Fixative Type	Biospecimen	Text term to identify the type of fixative used to preserve a tissue specimen	True		String	Acetone Alcohol Formalin Glutaraldehyde OCT media RNAlater Saline 95% Ethanol Dimidoester Carbodiimide Dimethylacetamide Para-benzoquinone PAXgene tissue TCL lysis buffer NP40 lysis buffer Methacarn Cryo-store Carnoy's Fixative Polaxamer Other None unknown Unfixed
Storage Method	Biospecimen	The method by which a biomaterial was stored after preservation or before another protocol was used.	True		String	Ambient temperature Cut slide Fresh Frozen at -20C Frozen at -70C Frozen at -80C Frozen at -150C Frozen in liquid nitrogen Frozen in vapor phase Paraffin block RNAlater at 4C RNAlater at 25C RNAlater at -20C Refrigerated at 4 degrees Refrigerated vacuum chamber 4C in vacuum chamber Desiccant at 4C Not Applicable unknown
Processing Days from Index	Biospecimen	Number of days from the research participant's index date that the biospecimen was processed. If not applicable please enter 'Not Applicable'	True		String	
Protocol Link	Biospecimen	Protocols.io ID or DOI link to a free/open protocol resource describing in detail the assay protocol (e.g. surface markers used in Smart-seq, dissociation duration,  lot/batch numbers for key reagents such as primers, sequencing reagent kits, etc.) or the protocol by which the sample was obtained or generated.	True		String	
Site Data Source	Biospecimen	Text to identify the data source for the specimen/sample from within the HTAN center, if applicable. Any identifier used within the center to identify data sources. No PHI/PII is allowed.	False		String	
Collection Media	Biospecimen	Material Specimen is collected into post procedure	False		String	DMEM DMEM+Serum RPMI RPMI+Serum PBS PBS+Serum None
Mounting Medium	Biospecimen	The solution in which the specimen is embedded, generally under a cover glass. It may be liquid, gum or resinous, soluble in water, alcohol or other solvents and be sealed from the external atmosphere by non-soluble ringing media	False		String	Aqueous water based Non-Aqueous Solvent based Xylene Toluene Antifade with DAPI Antifade without DAPI PBS unknown Not Reported
Processing Location	Biospecimen	Site with an HTAN center where specimen processing occurs, if applicable. Any identifier used within the center to identify processing location. No PHI/PII is allowed.	False		String	
Histology Assessment By	Biospecimen	Text term describing who (in what role) made the histological assessments of the sample	False		String	Pathologist Research Scientist Other unknown
Histology Assessment Medium	Biospecimen	The method of assessment used to characterize histology	False		String	Digital Microscopy Other unknown
