Attribute	Manifest Name	Description	Required	Conditional If	Data Type	Valid Values
Filename	Mass Spectrometry Level 1,Mass Spectrometry Level 2,Mass Spectrometry Level 3,Mass Spectrometry Level 4,Mass Spectrometry Auxiliary File	Name of a file	True		String	
File Format	Mass Spectrometry Level 1,Mass Spectrometry Level 2,Mass Spectrometry Level 3,Mass Spectrometry Level 4,Mass Spectrometry Auxiliary File	Format of a file (e.g. txt, csv, fastq, bam, etc.)	True		String	hdf5 bedgraph idx idat bam bai excel powerpoint tif tiff OME-TIFF png doc pdf fasta fastq sam vcf bcf maf bed chp cel sif tsv csv txt plink bigwig wiggle gct bgzip zip seg html mov hyperlink svs Md flagstat gtf raw msf rmd bed narrowPeak bed broadPeak bed gappedPeak avi pzfx fig xml tar R script abf bpm dat jpg locs Sentrix descriptor file Python script sav gzip sdf RData hic ab1 7z gff3 json sqlite svg sra recal tranches mtx tagAlign dup DICOM czi mex cloupe Am cell am mpg M mzML scn dcc rcc pkc sf bedpe
HTAN Parent Biospecimen ID	Mass Spectrometry Level 1,Mass Spectrometry Level 2,Mass Spectrometry Level 3,Mass Spectrometry Level 4	HTAN Biospecimen Identifier (eg HTANx_yyy_zzz) indicating the biospecimen(s) from which these files were derived; multiple parent biospecimen should be comma-separated	True	Is lowest level is "Yes - Is lowest level"	String	
HTAN Data File ID	Mass Spectrometry Level 1,Mass Spectrometry Level 2,Mass Spectrometry Level 3,Mass Spectrometry Level 4,Mass Spectrometry Auxiliary File	Self-identifier for this data file - HTAN ID of this file HTAN ID SOP (eg HTANx_yyy_zzz)	True		String	
MS Batch ID	Mass Spectrometry Level 1	Batch ID indicating a set of samples that were run together.	True		String	
MS-based Assay Type	Mass Spectrometry Level 1	Analytes are the target molecules being measured with the assay.	True		String	LC-MS MS TMT LC-MS/MS
Analyte Type	Mass Spectrometry Level 1	The kind of molecular specimen analyte: a molecular derivative (I.e. RNA / DNA / Protein Lysate) obtained from a specimen	True	Biospecimen is "Analyte"	String	cfDNA Analyte DNA Analyte RNA Analyte Total RNA Analyte Tissue Block Analyte Tissue Section Analyte PBMCs or Plasma or Serum Analyte cDNA Libraries Analyte PBMCs Plasma Serum Analyte lipid protein metabolite
MS-based Targeted	Mass Spectrometry Level 1	Specifies whether or not a specific molecule(s) is/are targeted for detection/measurement by the assay. Example: The MALDI Imaging analyte is lipids.	True		String	Targeted Untargeted
MS Instrument Vendor and Model	Mass Spectrometry Level 1	An acquisition instrument is the device that contains the signal detection hardware and signal processing software. Assays generate signals such as light of various intensities or color or signals representing the molecular mass.	True		String	
MS Source	Mass Spectrometry Level 1	The ion source type used for surface sampling (MALDI, MALDI-2, DESI, or SIMS) or LC-MS/MS data acquisition (nESI)	True		String	MALDI MALDI-2 DESI SIMS nESI Other
