Attribute	Manifest Name	Description	Required	Conditional If	Data Type	Valid Values
Filename	RPPA Level 2,RPPA Level 3,RPPA Level 4	Name of a file	True		String	
File Format	RPPA Level 2,RPPA Level 3,RPPA Level 4	Format of a file (e.g. txt, csv, fastq, bam, etc.)	True		String	hdf5 bedgraph idx idat bam bai excel powerpoint tif tiff OME-TIFF png doc pdf fasta fastq sam vcf bcf maf bed chp cel sif tsv csv txt plink bigwig wiggle gct bgzip zip seg html mov hyperlink svs Md flagstat gtf raw msf rmd bed narrowPeak bed broadPeak bed gappedPeak avi pzfx fig xml tar R script abf bpm dat jpg locs Sentrix descriptor file Python script sav gzip sdf RData hic ab1 7z gff3 json sqlite svg sra recal tranches mtx tagAlign dup DICOM czi mex cloupe Am cell am mpg M mzML scn dcc rcc pkc sf bedpe
HTAN Participant ID	RPPA Level 2,RPPA Level 3,RPPA Level 4	HTAN ID associated with a patient based on HTAN ID SOP (eg HTANx_yyy )	True		String	
HTAN Parent Biospecimen ID	RPPA Level 2,RPPA Level 3,RPPA Level 4	HTAN Biospecimen Identifier (eg HTANx_yyy_zzz) indicating the biospecimen(s) from which these files were derived; multiple parent biospecimen should be comma-separated	True	Is lowest level is "Yes - Is lowest level"	String	
HTAN Parent Data File ID	RPPA Level 2,RPPA Level 3,RPPA Level 4	HTAN Data File Identifier indicating the file(s) from which these files were derived	True		String	
HTAN Data File ID	RPPA Level 2,RPPA Level 3,RPPA Level 4	Self-identifier for this data file - HTAN ID of this file HTAN ID SOP (eg HTANx_yyy_zzz)	True		String	
HTAN RPPA Antibody Table	RPPA Level 2	A table containing antibody level metadata for RPPA	True		String	
Assay Type	RPPA Level 2,RPPA Level 3,RPPA Level 4	The type and level of assay this metadata applies to (e.g. RPPA, NanoString DSP, etc.)	True		String	
Protocol Link	RPPA Level 2	Protocols.io ID or DOI link to a free/open protocol resource describing in detail the assay protocol (e.g. surface markers used in Smart-seq, dissociation duration,  lot/batch numbers for key reagents such as primers, sequencing reagent kits, etc.) or the protocol by which the sample was obtained or generated.	True		String	
Software and Version	RPPA Level 2,RPPA Level 3	Name of software used to generate expression values. String	True	Pseudo Alignment Used is "Yes - Pseudo Alignment Used"	String	
Normalization Method	RPPA Level 2,RPPA Level 3	Description of Normalization Process	False		String	
Batch Correction Method	RPPA Level 3,RPPA Level 4	Method that was used to batch correct Level 3 data	False		String	
HTAN RPPA Antibody Table ID	RPPA Level 2	HTAN identifier associated with RPPA antibody level metadata. Identical for every row of the table.	True		String	
Ab Name Reported on Dataset	RPPA Level 2	The antibody name.	True		String	
GENCODE Gene Symbol Target	RPPA Level 2	The comma separated list of gene symbols targeted by the antibody.	True		String	
UNIPROT Protein ID Target	RPPA Level 2	The comma separated list of UNIPROT IDs targeted by the antibody.	True		String	
Phosphoprotein Flag	RPPA Level 2	A flag the denotes if an antibody targets a phosphoprotein.	True		String	true false
Vendor	RPPA Level 2	Vendor	False		String	
Catalog Number	RPPA Level 2	Catalog Number	False		String	
Internal Ab ID	RPPA Level 2	Internal lab ID for an antibody.	True		String	
Species	RPPA Level 2	Host animal.	True		String	Mouse Rabbit Goat
RPPA Dilution	RPPA Level 2	The dilution ratio.	False		String	
Phospho Site	RPPA Level 2	The protein site for a phosphoprotein targeting antibody. Report AA and site (i.e. S442)	False		String	
RPPA Validation Status	RPPA Level 2	Valid = RPPA and WB correlation > 0.7; Use with Caution = RPPA and WB correlation < 0.7; Under Evaluation = Antibody has given mixed results and/or evaluated by another lab; We are in the process of (re)validating; Used for QC = These antibodies are used for tissue sample quality control (QC)	False		String	Valid Use with Caution Under Evaluation Used for QC
Clone	RPPA Level 2	Clone	False		String	
Clonality	RPPA Level 2	The text term used to describe whether a genomic variant is related by descent from a single progenitor cell. Note: This node is meant to capture molecular tests that were completed clinically for the participant and only includes data from diagnostic array that was completed prior to research sequencing was done. Do not include data related to research assay outputs here.	False		String	Clonal Non-clonal
Antibody Notes	RPPA Level 2	Notes on antibodies replacements and antibody recognition observations.	False		String	
