Attribute,Manifest Name,Description,Required,Conditional If,Data Type,Valid Values
AA Change,Molecular Test,Alphanumeric value used to describe the amino acid change for a specific genetic variant. Example: R116Q. Note: This node is meant to capture molecular tests that were completed clinically for the participant and only includes data from diagnostic array that was completed prior to research sequencing was done. Do not include data related to research assay outputs here.,FALSE,,String,
Ab Name Reported on Dataset,RPPA Level 2,The antibody name.,TRUE,,String,
Acquisition Method Other Specify,Biospecimen,A custom acquisition method [Text - max length 100 characters],TRUE,"Acquisition is ""Other Acquisition Method""",String,
Acquisition Method Type,Biospecimen,Records the method of acquisition or source for the specimen under consideration.,TRUE,,String,Autopsy Biopsy Fine Needle Aspirate Surgical Resection Punch Biopsy Shave Biopsy Excision Re-excision Sentinel Node Biopsy Lymphadenectomy - Regional Nodes Other Acquisition Method Non induced sputum Induced sputum BAL (bronchial alveolar lavage) Cytobrush Blood draw Fluid collection Forceps biopsy Core needle biopsy Endoscopic biopsy Not specified
Adapter Content,"scDNA-seq Level 1,Bulk WES Level 2,Bulk RNA-seq Level 1",State classification given by FASTQC for the metric. Metric specific details about the states are available on their website.,FALSE,,String,FAIL PASS WARN unknown Not Reported
Adapter Name,"scDNA-seq Level 1,Bulk WES Level 1,Bulk RNA-seq Level 1",Name of the sequencing adapter. String,FALSE,,String,
Adapter Sequence,"scDNA-seq Level 1,Bulk WES Level 1,Bulk RNA-seq Level 1",Base sequence of the sequencing adapter. String,FALSE,,String,
Adapter Trimmer Name,scDNA-seq Level 1,Name of adapter trimmer,FALSE,,String,
Adapter Trimmer Options,scDNA-seq Level 1,Options used by adapter trimmer,FALSE,,String,
Adapter Trimmer Version,scDNA-seq Level 1,Version of the adapter trimmer,FALSE,,String,
Additional Topography,Diagnosis,Topography not included in the ICD-O-3 Topography codes.,FALSE,,String,skin of scalp skin of eye lid skin of nose skin of lip skin of ear skin of neck skin of other parts of face skin of chest skin of back skin of abdomen Skin of trunk skin of breast skin of upper limb and shoulder skin of palm skin of lower limb and hip skin of sole skin of penis skin of scrotum skin of vulva skin NOS Hilar Airway Peri-tumoral Airway Not Reported
Additonal Findings Uninvolved Prostate,Prostate Cancer Tier 3,"Additional findings, uninvolved prostate",FALSE,,String,High-grade prostatic intraepithelial neoplasia (PIN) Inflammation Benign prostatic hyperplasia (BPH) Prostatic Intraductal adenocarcinoma Other unknown Not Reported
