Attribute	Manifest Name	Description	Required	Conditional If	Data Type	Valid Values
Filename	scRNA-seq Level 1,scRNA-seq Level 2,scRNA-seq Level 3,scRNA-seq Level 4,scDNA-seq Level 1,scDNA-seq Level 2,scATAC-seq Level 1,scATAC-seq Level 2,scATAC-seq Level 3,scATAC-seq Level 4,scmC-seq Level 1,scmC-seq Level 2,Bulk WES Level 1,Bulk WES Level 2,Bulk WES Level 3,Bulk Methylation-seq Level 1,Bulk Methylation-seq Level 2,Bulk Methylation-seq Level 3,Bulk RNA-seq Level 1,Bulk RNA-seq Level 2,Bulk RNA-seq Level 3,HI-C-seq Level 1,HI-C-seq Level 2,HI-C-seq Level 3	Name of a file	True		String	
File Format	scRNA-seq Level 1,scRNA-seq Level 2,scRNA-seq Level 3,scRNA-seq Level 4,scDNA-seq Level 1,scDNA-seq Level 2,scATAC-seq Level 1,scATAC-seq Level 2,scATAC-seq Level 3,scATAC-seq Level 4,scmC-seq Level 1,scmC-seq Level 2,Bulk WES Level 1,Bulk WES Level 2,Bulk WES Level 3,Bulk Methylation-seq Level 1,Bulk Methylation-seq Level 2,Bulk Methylation-seq Level 3,Bulk RNA-seq Level 1,Bulk RNA-seq Level 2,Bulk RNA-seq Level 3,HI-C-seq Level 1,HI-C-seq Level 2,HI-C-seq Level 3	Format of a file (e.g. txt, csv, fastq, bam, etc.)	True		String	hdf5 bedgraph idx idat bam bai excel powerpoint tif tiff OME-TIFF png doc pdf fasta fastq sam vcf bcf maf bed chp cel sif tsv csv txt plink bigwig wiggle gct bgzip zip seg html mov hyperlink svs Md flagstat gtf raw msf rmd bed narrowPeak bed broadPeak bed gappedPeak avi pzfx fig xml tar R script abf bpm dat jpg locs Sentrix descriptor file Python script sav gzip sdf RData hic ab1 7z gff3 json sqlite svg sra recal tranches mtx tagAlign dup DICOM czi mex cloupe Am cell am mpg M mzML scn dcc rcc pkc sf bedpe
HTAN Parent Biospecimen ID	scRNA-seq Level 1,scDNA-seq Level 1,scATAC-seq Level 1,scmC-seq Level 1,Bulk WES Level 1,Bulk Methylation-seq Level 1,Bulk RNA-seq Level 1,HI-C-seq Level 1,scRNA-seq Level 2	HTAN Biospecimen Identifier (eg HTANx_yyy_zzz) indicating the biospecimen(s) from which these files were derived; multiple parent biospecimen should be comma-separated	True	Is lowest level is "Yes - Is lowest level"	String	
HTAN Data File ID	scRNA-seq Level 1,scRNA-seq Level 2,scRNA-seq Level 3,scRNA-seq Level 4,scDNA-seq Level 1,scDNA-seq Level 2,scATAC-seq Level 1,scATAC-seq Level 2,scATAC-seq Level 3,scATAC-seq Level 4,scmC-seq Level 1,scmC-seq Level 2,Bulk WES Level 1,Bulk WES Level 2,Bulk WES Level 3,Bulk Methylation-seq Level 1,Bulk Methylation-seq Level 2,Bulk Methylation-seq Level 3,Bulk RNA-seq Level 1,Bulk RNA-seq Level 2,Bulk RNA-seq Level 3,HI-C-seq Level 1,HI-C-seq Level 2,HI-C-seq Level 3	Self-identifier for this data file - HTAN ID of this file HTAN ID SOP (eg HTANx_yyy_zzz)	True		String	
Nucleic Acid Source	scRNA-seq Level 1,scDNA-seq Level 1,scATAC-seq Level 1,scmC-seq Level 1,Bulk Methylation-seq Level 1,Bulk RNA-seq Level 1,HI-C-seq Level 1	The source of the input nucleic molecule	True		String	Single Cell Bulk Whole Cell Single Nucleus Bulk Nuclei Micro-region
Cryopreserved Cells in Sample	scRNA-seq Level 1	Indicate if library preparation was based on revived frozen cells.	True		String	yes no
Single Cell Isolation Method	scRNA-seq Level 1,scATAC-seq Level 1,scmC-seq Level 1	The method by which cells are isolated into individual reaction containers at a single cell resolution (e.g. wells, micro-droplets)	True		String	Microfluidics Chip Droplets FACS Plates 10x Nuclei Isolation
Dissociation Method	scRNA-seq Level 1,scATAC-seq Level 1	The tissue dissociation method used for scRNASeq or scATAC-seq assays	True		String	gentleMACS Dounce Enzymatic Digestion Not Applicable
Library Construction Method	scRNA-seq Level 1,scATAC-seq Level 1	Process which results in the creation of a library from fragments of DNA using cloning vectors or oligonucleotides with the role of adaptors [OBI_0000711]	True		String	Smart-seq2 Smart-SeqV4 10xV1.0 10xV1.1 10xV2 10xV3 10xV3.1 CEL-seq2 Drop-seq inDropsV2 inDropsV3 TruDrop sci-ATAC-seq Nextera XT 10x Multiome 10x FLEX 10x GEM 3' 10x GEM 5'
Read Indicator	scRNA-seq Level 1,Bulk WES Level 1,Bulk RNA-seq Level 1	Indicate if this is Read 1 (R1), Read 2 (R2), Index Reads 1 (I1), Index Reads 2 (I2),  or Other	True		String	R1 R2 R1&R2 I1 I2 Other
