Attribute	Manifest Name	Description	Required	Conditional If	Data Type	Valid Values
Xenium Bundle Contents	10X Genomics Xenium ISS Experiment	A comma separated list of filenames within the Xenium bundle zip file	TRUE		String	
Decoded Transcripts	10X Genomics Xenium ISS Experiment	"In Xenium, this is the number of high-quality, decoded-to-gene nuclear transcripts divided by the total segmented nuclear area to get a transcript density (units are reported in 100um^2)."	TRUE		String	
Xenium IF image HTAN File ID	10X Genomics Xenium ISS Experiment	The HTAN Data File ID of a Imaging Level 2 file	FALSE		String	
Xenium HE image HTAN File ID	10X Genomics Xenium ISS Experiment	The HTAN Data File ID of a Imaging Level 2 file	FALSE		String	
Panel Name	"10X Genomics Xenium ISS Experiment,Nanostring CosMx SMI Experiment"	"The human-readable panel name. This could be the Gene Panel name or Protein Panel name. In Xenium, this refers to the string entered as the name in panel specification (e.g. Xenium Human Immuno-Oncology Add-on B Gene Expression). In CosMx, this refers to the panel name as it appears in the CosMx catalog (e.g. CosMx Human Universal Cell Characterization Panel (1000-plex))"	TRUE		String	
Total Number of Cells	"10X Genomics Xenium ISS Experiment,Nanostring CosMx SMI Experiment"	The total number of cells analyzed on the flow cell	TRUE		String	
Total Number of Targets	"10X Genomics Xenium ISS Experiment,Nanostring CosMx SMI Experiment"	Refers to the target of an assay. Can be genes/transcripts or probes	TRUE		String	
Experiment IF Channels	"10X Genomics Xenium ISS Experiment,Nanostring CosMx SMI Experiment"	"A comma-separated list with any number of channels the user deems appropriate(Example: PanCK, CD45, CD3, DAPI)"	TRUE		String	
Transcripts per Cell	"10X Genomics Xenium ISS Experiment,Nanostring CosMx SMI Experiment"	Mean or Median transcript count per cell analyzed on the flow cell or slide	TRUE		String	
Percent of Transcripts within Cells	"10X Genomics Xenium ISS Experiment,Nanostring CosMx SMI Experiment"	The percentage of transcripts assigned to assayed cells	TRUE		String	
Surface area	"10X Genomics Xenium ISS Experiment,Nanostring CosMx SMI Experiment,NanoString GeoMx DSP ROI DCC Segment Annotation Metadata,NanoString GeoMx DSP ROI RCC Segment Annotation Metadata"	"Surface area of the ROI in square microns (µm^2). In CosMx, this is referred to as the Scan Area. In Xenium, this is referred to as the Region Area"	TRUE		String	
ROI name	"10X Genomics Xenium ISS Experiment,NanoString GeoMx DSP ROI DCC Segment Annotation Metadata,NanoString GeoMx DSP ROI RCC Segment Annotation Metadata"	ROI name (application generated). For Xenium this is referred to as the “region name”	TRUE		String	
Slide Version	10x Visium Spatial Transcriptomics - RNA-seq Level 1	Version of imaging slide used. Slide version is critical for the analysis of the sequencing data as different slides have different capture area layouts.	FALSE		String	V1 V2 V3 V4
Image Re-orientation	10x Visium Spatial Transcriptomics - RNA-seq Level 1	"To ensure good fiducial alignment and tissue spots detection, it is important to correct for this shift in orientation."	FALSE		String	TRUE FALSE
Permeabilization Time	10x Visium Spatial Transcriptomics - RNA-seq Level 1	Fixed and stained tissue sections are permeabilized for different times. Each Capture Area captures polyadenylated mRNA from the attached tissue section. Measure is provided in minutes.	FALSE		String	
RIN	10x Visium Spatial Transcriptomics - RNA-seq Level 1	A numerical assessment of the integrity of RNA based on the entire electrophoretic trace of the RNA sample including the presence or absence of degradation products. Number	FALSE		String	
DV200	10x Visium Spatial Transcriptomics - RNA-seq Level 1	Represents the percentage of RNA fragments that are >200 nucleotides in size. Number	FALSE		String	
cDNA	10x Visium Spatial Transcriptomics - RNA-seq Level 1	"Complementary DNA. A DNA copy of an mRNA or complex sample of mRNAs, made using reverse transcriptase"	FALSE		String	
Feature barcoding	10x Visium Spatial Transcriptomics - RNA-seq Level 1	A method for adding extra channels of information to cells by running single-cell gene expression in parallel with other assays [https://support.10xgenomics.com/single-cell-gene-expression/software/pipelines/latest/feature-bc]	FALSE		String	
cDNA Offset	10x Visium Spatial Transcriptomics - RNA-seq Level 1	Offset in sequence for cDNA read (in bp): number	TRUE	"Spatial Read2 is ""cDNA"""	String	
cDNA Length	10x Visium Spatial Transcriptomics - RNA-seq Level 1	Length of cDNA read (in bp): number	TRUE	"Spatial Read2 is ""cDNA"""	String	
Feature Reference Id	10x Visium Spatial Transcriptomics - RNA-seq Level 1	"Unique ID for this feature. Must not contain whitespace, quote or comma characters. Each ID must be unique and must not collide with a gene identifier from the transcriptome [https://support.10xgenomics.com/single-cell-gene-expression/software/pipelines/latest/using/feature-bc-analysis#feature-ref]"	TRUE	"Reverse Transcription Primer is ""Feature barcoding"""	String	
Protocol Link	"10x Visium Spatial Transcriptomics - RNA-seq Level 1,10X Genomics Xenium ISS Experiment,Nanostring CosMx SMI Experiment,Slide-seq Level 1"	"Protocols.io ID or DOI link to a free/open protocol resource describing in detail the assay protocol (e.g. surface markers used in Smart-seq, dissociation duration,  lot/batch numbers for key reagents such as primers, sequencing reagent kits, etc.) or the protocol by which the sample was obtained or generated."	TRUE		String	
Slide ID	"10x Visium Spatial Transcriptomics - RNA-seq Level 1,10x Visium Spatial Transcriptomics - Auxiliary Files,10X Genomics Xenium ISS Experiment,Nanostring CosMx SMI Experiment"	"For Visium, it is the unique identifier printed on the label of each Visium slide. The serial number starts with V followed by a number which can range between one through five and ends with a dash and a three digit number, such as 123. For CosMx, this refers to the loaded Flow Cell ID. For Xenium, this ID indicates the slide orientation, as it matches the relative location of the ID on the physical Xenium slide."	FALSE		String	
Capture Area	"10x Visium Spatial Transcriptomics - RNA-seq Level 1,10x Visium Spatial Transcriptomics - RNA-seq Level 2,10x Visium Spatial Transcriptomics - RNA-seq Level 3,10x Visium Spatial Transcriptomics - Auxiliary Files"	"Area (or Capture Area) - One of the either four or two active regions where tissue can be placed on a Visium slide. Each area is intended to contain only one tissue sample. Slide areas are named consecutively from top to bottom: A1, B1, C1, D1 for Visium slides with 6.5 mm Capture Area and A, B for CytAssist slides with 11 mm Capture Area. Both CytAssist slides with 6.5 mm Capture Area and Gateway Slides contain only two slide areas, A1 and D1."	FALSE		String	A B C D A1 B1 C1 D1
Filename	"10x Visium Spatial Transcriptomics - RNA-seq Level 1,10x Visium Spatial Transcriptomics - RNA-seq Level 2,10x Visium Spatial Transcriptomics - RNA-seq Level 3,10x Visium Spatial Transcriptomics - RNA-seq Level 4,10x Visium Spatial Transcriptomics - Auxiliary Files,NanoString GeoMx DSP Spatial Transcriptomics Level 1,NanoString GeoMx DSP Spatial Transcriptomics Level 3,10X Genomics Xenium ISS Experiment,Nanostring CosMx SMI Experiment,Slide-seq Level 1,Slide-seq Level 2,Slide-seq Level 3"	Name of a file	TRUE		String	
Run ID	"10x Visium Spatial Transcriptomics - RNA-seq Level 1,10x Visium Spatial Transcriptomics - RNA-seq Level 2,10x Visium Spatial Transcriptomics - RNA-seq Level 3,10x Visium Spatial Transcriptomics - RNA-seq Level 4,10x Visium Spatial Transcriptomics - Auxiliary Files,Slide-seq Level 3"	A unique identifier for this individual run (typically associated with a single slide) of the spatial transcriptomic processing workflow.	TRUE		String	
File Format	"10x Visium Spatial Transcriptomics - RNA-seq Level 1,10x Visium Spatial Transcriptomics - RNA-seq Level 2,10x Visium Spatial Transcriptomics - RNA-seq Level 3,10x Visium Spatial Transcriptomics - RNA-seq Level 4,10x Visium Spatial Transcriptomics - Auxiliary Files,NanoString GeoMx DSP Spatial Transcriptomics Level 1,NanoString GeoMx DSP Spatial Transcriptomics Level 3,10X Genomics Xenium ISS Experiment,Nanostring CosMx SMI Experiment,Slide-seq Level 1,Slide-seq Level 2,Slide-seq Level 3"	"Format of a file (e.g. txt, csv, fastq, bam, etc.)"	TRUE		String	hdf5 bedgraph idx idat bam bai excel powerpoint tif tiff OME-TIFF png doc pdf fasta fastq sam vcf bcf maf bed chp cel sif tsv csv txt plink bigwig wiggle gct bgzip zip seg html mov hyperlink svs Md flagstat gtf raw msf rmd bed narrowPeak bed broadPeak bed gappedPeak avi pzfx fig xml tar R script abf bpm dat jpg locs Sentrix descriptor file Python script sav gzip sdf RData hic ab1 7z gff3 json sqlite svg sra recal tranches mtx tagAlign dup DICOM czi mex cloupe Am cell am mpg M mzML scn dcc rcc pkc sf bedpe
